"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ifi27l2a",8.15821208343159e-50,1.09855230308022,0.888,0.617,1.40239665714189e-45
"Rpl23a",1.36538963745358e-28,0.395104620319084,0.781,0.585,2.3471047867827e-24
"Zbp1",3.8335310129401e-11,0.359155626520095,0.693,0.569,6.58983981124404e-07
"Actb",1.63228188628501e-11,0.325557502803757,1,1,2.80589256252394e-07
"Hsp90aa1",4.28578446390022e-13,0.321252946815892,0.962,0.913,7.36726349344447e-09
"Rpl9",7.26587137562857e-18,0.292385071683844,0.875,0.819,1.24900328947055e-13
"Hmgn1",1.70821787534501e-11,0.289866031736707,0.54,0.367,2.93642652771808e-07
"Isg15",1.28162880232244e-05,0.260815409499794,0.307,0.196,0.220311991119228
"Gapdh",1.1383212775546e-21,-0.253632205795801,0.971,0.99,1.95677427611635e-17
"Ctla2a",8.4387885861532e-07,-0.262559133162198,0.759,0.873,0.0145062775795973
"C1qb",0.00273777818394698,-0.264759472645506,0.372,0.468,1
"H1f0",8.78427771086145e-08,-0.271899150397962,0.3,0.456,0.00151001733849708
"Tubb6",5.5394647726558e-12,-0.275246895587033,0.278,0.456,9.52233994419531e-08
"Gldc",1.69464819997789e-17,-0.284220579608767,0.23,0.468,2.91310025576199e-13
"Capg",1.94793992337079e-12,-0.290739533668894,0.706,0.851,3.34850872827439e-08
"C1qc",0.000296027691531193,-0.307126282484863,0.256,0.365,1
"Il1r2",6.41296061390385e-13,-0.309215585003584,0.129,0.3,1.10238792953007e-08
"Pf4",5.26485287863412e-15,-0.332745977043565,0.15,0.353,9.05028209837206e-11
"Ccl9",1.04637268443221e-08,-0.334245347901423,0.212,0.363,0.000179871464453897
"S100a4",1.86307826210878e-16,-0.336279398450224,0.869,0.946,3.202631532565e-12
"Serpinb9",1.79248816354219e-19,-0.348688509105916,0.511,0.736,3.08128715312903e-15
"Serpine2",1.04299376307948e-08,-0.375795439826466,0.249,0.405,0.000179290627873363
"Igfbp7",2.63481629312645e-17,-0.376327007104088,0.158,0.375,4.52924920788436e-13
"Hilpda",8.02197268148342e-15,-0.379261384710322,0.478,0.679,1.378977103947e-10
"Ccl6",6.00993348500651e-11,-0.386478164123197,0.244,0.427,1.03310756607262e-06
"Ccl8",1.52098291584843e-12,-0.388086489505786,0.39,0.583,2.61456963234346e-08
"C1qa",5.60652541497254e-06,-0.395676340121911,0.252,0.381,0.0963761718833779
"Nrgn",2.65369625660561e-17,-0.43782105401976,0.478,0.692,4.56170386510504e-13
"Lyz2",4.59431559640706e-09,-0.506328754911116,0.468,0.633,7.89762851022374e-05
"Serpinb6b",2.42870925169547e-23,-0.513534655536003,0.612,0.823,4.17495120366451e-19
"Cxcl2",1.10754391984117e-09,-0.520436697231112,0.196,0.357,1.90386799820697e-05
"Sepp1",9.77803925991239e-19,-0.541257957018538,0.145,0.375,1.68084494877894e-14
"AA467197",3.64557580342507e-23,-0.622980296335081,0.484,0.744,6.2667448060877e-19
"Gzmc",4.81409245890566e-22,-1.15070078490468,0.252,0.512,8.27542493685884e-18
"Apoe",3.2115179372874e-54,-1.23515584190016,0.308,0.702,5.52059933419703e-50
"Gzme",1.86900227861871e-23,-1.31129465449798,0.067,0.284,3.21281491694557e-19
"Gzmf",1.80997914257853e-34,-2.06983456781177,0.117,0.421,3.11135414609249e-30
